"4896.26264,-0.22798"
"4895.29843,-0.22818"
"4894.33422,-0.22828"
"4893.37001,-0.22836"
"4892.40580,-0.22821"
"4891.44159,-0.22787"
"4890.47738,-0.22773"
"4889.51317,-0.22784"
"4888.54896,-0.22801"
"4887.58475,-0.22824"
"4886.62053,-0.22840"
"4885.65632,-0.22836"
"4884.69211,-0.22847"
"4883.72790,-0.22880"
"4882.76369,-0.22893"
"4881.79948,-0.22868"
"4880.83527,-0.22819"
"4879.87106,-0.22798"
"4878.90685,-0.22834"
"4877.94264,-0.22868"
"4876.97843,-0.22851"
"4876.01422,-0.22821"
"4875.05000,-0.22812"
"4874.08579,-0.22816"
"4873.12158,-0.22822"
"4872.15737,-0.22830"
"4871.19316,-0.22833"
"4870.22895,-0.22816"
"4869.26474,-0.22785"
"4868.30053,-0.22780"
"4867.33632,-0.22807"
"4866.37211,-0.22820"
"4865.40790,-0.22812"
"4864.44369,-0.22826"
"4863.47947,-0.22846"
"4862.51526,-0.22835"
"4861.55105,-0.22821"
"4860.58684,-0.22846"
"4859.62263,-0.22879"
"4858.65842,-0.22858"
"4857.69421,-0.22804"
"4856.73000,-0.22772"
"4855.76579,-0.22768"
"4854.80158,-0.22785"
"4853.83737,-0.22814"
"4852.87316,-0.22830"
"4851.90894,-0.22823"
"4850.94473,-0.22806"
"4849.98052,-0.22801"
"4849.01631,-0.22815"
"4848.05210,-0.22835"
"4847.08789,-0.22841"
"4846.12368,-0.22833"
"4845.15947,-0.22817"
"4844.19526,-0.22805"
"4843.23105,-0.22803"
"4842.26684,-0.22800"
"4841.30263,-0.22797"
"4840.33841,-0.22810"
"4839.37420,-0.22832"
"4838.40999,-0.22842"
"4837.44578,-0.22834"
"4836.48157,-0.22812"
"4835.51736,-0.22794"
"4834.55315,-0.22800"
"4833.58894,-0.22816"
"4832.62473,-0.22821"
"4831.66052,-0.22819"
"4830.69631,-0.22832"
"4829.73210,-0.22854"
"4828.76788,-0.22869"
"4827.80367,-0.22880"
"4826.83946,-0.22886"
"4825.87525,-0.22868"
"4824.91104,-0.22842"
"4823.94683,-0.22844"
"4822.98262,-0.22859"
"4822.01841,-0.22852"
"4821.05420,-0.22837"
"4820.08999,-0.22836"
"4819.12578,-0.22838"
"4818.16157,-0.22835"
"4817.19735,-0.22830"
"4816.23314,-0.22826"
"4815.26893,-0.22823"
"4814.30472,-0.22812"
"4813.34051,-0.22795"
"4812.37630,-0.22795"
"4811.41209,-0.22814"
"4810.44788,-0.22835"
"4809.48367,-0.22848"
"4808.51946,-0.22852"
"4807.55525,-0.22852"
"4806.59104,-0.22859"
"4805.62682,-0.22880"
"4804.66261,-0.22894"
"4803.69840,-0.22886"
"4802.73419,-0.22861"
"4801.76998,-0.22838"
"4800.80577,-0.22830"
"4799.84156,-0.22830"
"4798.87735,-0.22823"
"4797.91314,-0.22816"
"4796.94893,-0.22818"
"4795.98472,-0.22828"
"4795.02051,-0.22855"
"4794.05629,-0.22882"
"4793.09208,-0.22889"
"4792.12787,-0.22889"
"4791.16366,-0.22882"
"4790.19945,-0.22857"
"4789.23524,-0.22824"
"4788.27103,-0.22796"
"4787.30682,-0.22786"
"4786.34261,-0.22794"
"4785.37840,-0.22810"
"4784.41419,-0.22825"
"4783.44997,-0.22836"
"4782.48576,-0.22847"
"4781.52155,-0.22858"
"4780.55734,-0.22863"
"4779.59313,-0.22861"
"4778.62892,-0.22862"
"4777.66471,-0.22870"
"4776.70050,-0.22871"
"4775.73629,-0.22857"
"4774.77208,-0.22848"
"4773.80787,-0.22846"
"4772.84366,-0.22836"
"4771.87944,-0.22831"
