"X","Y"
"2267.868","281"
"2270.113","270"
"2272.358","272"
"2274.601","269.67"
"2276.842","277.67"
"2279.082","276.67"
"2281.321","282"
"2283.558","272.67"
"2285.794","274"
"2288.028","274.33"
"2290.261","270.67"
"2292.492","270.67"
"2294.722","275.33"
"2296.951","268.67"
"2299.178","270.33"
"2301.404","260.67"
"2303.628","269.67"
"2305.851","264.33"
"2308.072","256"
"2310.292","265.67"
"2312.511","260.67"
"2314.728","260"
"2316.944","268.67"
"2319.159","265.33"
"2321.372","259.33"
"2323.583","266.33"
"2325.793","262"
"2328.002","256"
"2330.209","256"
"2332.415","265.67"
"2334.62","255"
"2336.823","266.67"
"2339.025","261"
"2341.225","260"
"2343.424","254"
"2345.621","252.33"
"2347.817","251.67"
"2350.012","253"
"2352.206","253.33"
"2354.397","254"
"2356.588","248.33"
"2358.777","250.33"
"2360.965","249"
"2363.151","246.67"
"2365.336","253.67"
"2367.52","243.67"
"2369.702","245.67"
"2371.883","246.67"
"2374.062","242.67"
"2376.24","244.33"
"2378.417","246.33"
"2380.592","240"
"2382.766","232.33"
"2384.938","245"
"2387.11","238"
"2389.279","239.67"
"2391.448","231"
"2393.615","231.33"
"2395.78","233.67"
"2397.944","235"
"2400.107","230"
"2402.269","235.67"
"2404.429","232.33"
"2406.588","233.33"
"2408.745","233.67"
"2410.901","233.67"
"2413.056","221.67"
"2415.209","215.67"
"2417.361","229"
"2419.512","218"
"2421.661","226.33"
"2423.809","231.33"
"2425.955","220.33"
"2428.1","218.33"
"2430.244","222"
"2432.386","217"
"2434.527","212"
"2436.667","216"
"2438.806","214"
"2440.943","218.33"
"2443.078","216"
"2445.213","221"
"2447.345","216"
"2449.477","221.67"
"2451.607","216.33"
"2453.736","208.33"
"2455.864","208"
"2457.99","205.67"
"2460.115","215.33"
"2462.239","207.67"
"2464.361","201"
"2466.482","211.67"
"2468.601","208.67"
"2470.719","210.33"
"2472.836","205.33"
"2474.952","200.33"
"2477.066","210.33"
"2479.179","194.33"
"2481.29","210.33"
"2483.401","206"
"2485.509","205.67"
"2487.617","191.67"
"2489.723","205"
"2491.828","206.67"
"2493.932","209.33"
"2496.034","206.33"
"2498.135","200"
"2500.234","206.67"
"2502.333","197"
"2504.43","202.67"
"2506.525","191.33"
"2508.62","196.33"
"2510.713","190.67"
"2512.804","197.67"
"2514.895","195.33"
"2516.984","188.67"
"2519.071","194.67"
"2521.158","190"
"2523.243","189"
"2525.327","192.67"
"2527.409","185"
"2529.491","179"
"2531.571","191.67"
"2533.649","188.67"
"2535.726","190.33"
"2537.802","186.33"
"2539.877","195.67"
"2541.951","188.33"
"2544.023","182"
"2546.093","189.33"
"2548.163","182.33"
"2550.231","183.33"
"2552.298","181.33"
"2554.364","180"
"2556.428","183"
"2558.491","185"
"2560.553","179.33"
"2562.613","181"
"2564.672","185"
"2566.73","176"
"2568.787","177.67"
"2570.842","178.33"
"2572.896","179.33"
"2574.949","181.67"
"2577","185.33"
"2579.05","174"
"2581.099","176"
"2583.147","175"
"2585.193","177"
"2587.238","177.67"
"2589.282","179"
"2591.324","170.67"
"2593.366","177.33"
"2595.406","170.67"
"2597.444","170.33"
"2599.482","170.33"
"2601.518","169.33"
"2603.553","167.67"
"2605.586","163.67"
"2607.618","168"
"2609.65","163"
"2611.679","171"
"2613.708","168"
"2615.735","164.67"
"2617.761","171.67"
"2619.786","171.67"
"2621.809","173.67"
"2623.831","157.67"
"2625.852","157.67"
"2627.872","163"
"2629.89","165"
"2631.908","162.67"
"2633.924","157.33"
"2635.938","170.33"
"2637.952","166"
"2639.964","161.67"
"2641.975","157"
"2643.984","161.67"
"2645.993","160.33"
"2648","159.33"
"2650.006","164.33"
"2652.01","152.33"
"2654.014","160.33"
"2656.016","156"
"2658.017","161.67"
"2660.017","153.33"
"2662.015","151.33"
"2664.012","152.67"
"2666.008","155"
"2668.003","147.33"
"2669.996","147.67"
"2671.989","144.33"
"2673.98","150.67"
"2675.97","147"
"2677.958","144.33"
"2679.945","150.33"
"2681.931","146.33"
"2683.916","141.67"
"2685.9","139.33"
"2687.882","150.33"
"2689.863","141"
"2691.843","144"
"2693.822","150.33"
"2695.8","139"
"2697.776","143"
"2699.751","141.33"
"2701.725","148.33"
"2703.697","144.67"
"2705.669","136.33"
"2707.639","138.67"
"2709.608","138.67"
"2711.575","134"
"2713.542","131.67"
"2715.507","133.67"
"2717.471","127"
"2719.434","136"
"2721.396","131.33"
"2723.356","129.67"
"2725.315","134"
"2727.273","137"
"2729.23","142"
"2731.186","124"
"2733.14","126.67"
"2735.093","123.33"
"2737.045","129.67"
"2738.996","126"
"2740.946","131.33"
"2742.894","135"
"2744.841","127.33"
"2746.787","127"
"2748.732","122.67"
"2750.675","130.67"
"2752.618","122.67"
"2754.559","126.67"
"2756.499","124.33"
"2758.438","124.33"
"2760.375","119.33"
"2762.311","117.33"
"2764.247","120"
"2766.181","113.67"
"2768.113","112.33"
"2770.045","116"
"2771.975","118.67"
"2773.905","113.33"
"2775.833","116"
"2777.76","110.67"
"2779.685","110"
"2781.61","111.33"
"2783.533","105.67"
"2785.455","110"
"2787.376","105.33"
"2789.296","103.67"
"2791.214","98"
"2793.132","102"
"2795.048","100.67"
"2796.963","100.67"
"2798.877","100.67"
"2800.79","100"
"2802.701","106"
"2804.611","91.33"
"2806.521","86"
"2808.429","87.33"
"2810.335","84.33"
"2812.241","81.33"
"2814.146","85.67"
"2816.049","81"
"2817.951","75"
"2819.852","0.33"
"2821.752","-1.67"
"2823.65","-0.33"
"2825.548","-2.33"
