"X","Y"
"2328.002","-103.67"
"2330.209","-106.67"
"2332.415","-103"
"2334.62","-99.67"
"2336.823","-103"
"2339.025","-103"
"2341.225","-98"
"2343.424","-106.33"
"2345.621","-98.33"
"2347.817","-103"
"2350.012","-103.33"
"2352.206","-95"
"2354.397","-100.67"
"2356.588","-102"
"2358.777","-100.67"
"2360.965","-97.67"
"2363.151","-104.33"
"2365.336","-97.33"
"2367.52","-96.67"
"2369.702","-100.33"
"2371.883","-96"
"2374.062","-98"
"2376.24","-98.67"
"2378.417","-94.67"
"2380.592","-105.33"
"2382.766","-98"
"2384.938","-98.67"
"2387.11","-94.67"
"2389.279","-96.33"
"2391.448","-94.33"
"2393.615","-94.67"
"2395.78","-99.67"
"2397.944","-93.33"
"2400.107","-96.33"
"2402.269","-95.33"
"2404.429","-96"
"2406.588","-92.33"
"2408.745","-94.33"
"2410.901","-93.67"
"2413.056","-94"
"2415.209","-103"
"2417.361","-92.33"
"2419.512","-91"
"2421.661","-91.67"
"2423.809","-92.33"
"2425.955","-95"
"2428.1","-95.33"
"2430.244","-93.33"
"2432.386","-87"
"2434.527","-93.33"
"2436.667","-93.67"
"2438.806","-89"
"2440.943","-91.33"
"2443.078","-90.33"
"2445.213","-92"
"2447.345","-91.33"
"2449.477","-85"
"2451.607","-92.33"
"2453.736","-92.33"
"2455.864","-88.67"
"2457.99","-90"
"2460.115","-82.67"
"2462.239","-93"
"2464.361","-89"
"2466.482","-89"
"2468.601","-83.67"
"2470.719","-81.67"
"2472.836","-84.67"
"2474.952","-88.33"
"2477.066","-85"
"2479.179","-90.33"
"2481.29","-86"
"2483.401","-79.67"
"2485.509","-89"
"2487.617","-88"
"2489.723","-83.33"
"2491.828","-80"
"2493.932","-83"
"2496.034","-78.33"
"2498.135","-84"
"2500.234","-77.33"
"2502.333","-80.67"
"2504.43","-79.33"
"2506.525","-82.33"
"2508.62","-79.33"
"2510.713","-80"
"2512.804","-77.67"
"2514.895","-77"
"2516.984","-79.67"
"2519.071","-82.67"
"2521.158","-77.33"
"2523.243","-76"
"2525.327","-78.67"
"2527.409","-76.67"
"2529.491","-80.33"
"2531.571","-75.33"
"2533.649","-76"
"2535.726","-72.67"
"2537.802","-73.67"
"2539.877","-69"
"2541.951","-77"
"2544.023","-71.33"
"2546.093","-73.33"
"2548.163","-71.67"
"2550.231","-74.33"
"2552.298","-76"
"2554.364","-74.33"
"2556.428","-71.67"
"2558.491","-71.67"
"2560.553","-71.67"
"2562.613","-72"
"2564.672","-67"
"2566.73","-67.67"
"2568.787","-64.67"
"2570.842","-65.67"
"2572.896","-67.67"
"2574.949","-65.67"
"2577","-73"
"2579.05","-65"
"2581.099","-69"
"2583.147","-70"
"2585.193","-64.33"
"2587.238","-63"
"2589.282","-66.67"
"2591.324","-70.67"
"2593.366","-64.67"
"2595.406","-66"
"2597.444","-66.67"
"2599.482","-70"
"2601.518","-64.33"
"2603.553","-67.33"
"2605.586","-66.67"
"2607.618","-73"
"2609.65","-71.33"
"2611.679","-65.67"
"2613.708","-67.67"
"2615.735","-64"
"2617.761","-66"
"2619.786","-70"
"2621.809","-64.33"
"2623.831","-70"
"2625.852","-70"
"2627.872","-65.33"
"2629.89","-66.67"
"2631.908","-67.67"
"2633.924","-69.33"
"2635.938","-64"
"2637.952","-63"
"2639.964","-64.33"
"2641.975","-68"
"2643.984","-61"
"2645.993","-64.33"
"2648","-65"
"2650.006","-60.33"
"2652.01","-63"
"2654.014","-60.67"
"2656.016","-58.33"
"2658.017","-61"
"2660.017","-60.33"
"2662.015","-59.33"
"2664.012","-59.33"
"2666.008","-62.33"
"2668.003","-61.33"
"2669.996","-60"
"2671.989","-61"
"2673.98","-56"
"2675.97","-50"
"2677.958","-55.67"
"2679.945","-41.33"
"2681.931","-43.67"
"2683.916","-41.67"
"2685.9","-45.33"
"2687.882","-38"
"2689.863","-36.67"
"2691.843","-34"
"2693.822","-34.67"
"2695.8","-35"
"2697.776","-35"
"2699.751","-36"
"2701.725","-29.67"
"2703.697","-37.33"
"2705.669","-41"
"2707.639","-40.67"
"2709.608","-37.67"
"2711.575","-39.33"
"2713.542","-40.67"
"2715.507","-34"
"2717.471","-37"
"2719.434","-35"
"2721.396","-31.67"
"2723.356","-36.67"
"2725.315","-32.67"
"2727.273","-26"
"2729.23","-31"
"2731.186","-36.67"
"2733.14","-30"
"2735.093","-32.67"
"2737.045","-29.67"
"2738.996","-36.67"
"2740.946","-29.33"
"2742.894","-28.67"
"2744.841","-30.33"
"2746.787","-30.33"
"2748.732","-24"
"2750.675","-24"
"2752.618","-25.33"
"2754.559","-30.33"
"2756.499","-26.33"
"2758.438","-28.67"
"2760.375","-27.33"
"2762.311","-27.67"
"2764.247","-19.67"
"2766.181","-26.67"
"2768.113","-26"
"2770.045","-23"
"2771.975","-17.67"
"2773.905","-15.33"
"2775.833","-11.33"
"2777.76","-6"
"2779.685","-7"
"2781.61","4"
"2783.533","8.67"
"2785.455","5.33"
"2787.376","10.67"
"2789.296","11.33"
"2791.214","9.67"
"2793.132","13"
"2795.048","14.67"
"2796.963","13"
"2798.877","24"
"2800.79","23"
"2802.701","27.67"
"2804.611","22.33"
"2806.521","37.67"
"2808.429","33"
"2810.335","38.67"
"2812.241","31.67"
"2814.146","39.67"
"2816.049","40"
"2817.951","40.67"
"2819.852","2.67"
"2821.752","-1"
"2823.65","2.33"
"2825.548","-2"
